age,skills,city,gender,specialty,java,maven,git,sql,hibernate,spring,oop,student,education_level,total_experience,skill_set,rating
20,1,Казань,male,developer,1,0,0,0,0,0,0,0,secondary,8,"Работоспособность,усидчивость,упорность,Информационные технологии,Английский язык,HTML,Пользователь ПК,JavaScript,Java",0.279
20,1,Краснодар,male,javadeveloper,1,1,1,1,1,1,1,1,unfinished_higher,0,"MySQL,CSS,Git,HTML5,PostgreSQL,SQL,Bootstrap,Java SE,Spring Framework,Hibernate ORM,Apache Maven,Apache Tomcat,HTML,JDBC,ООП,CSS3,Thymeleaf,Docker,Swagger,Kubernetes",0.586
29,1,Нур-Султан,female,other,1,0,1,0,0,0,0,0,master,66,"Machine learning: natural language processing, image recognition,Имеется сертификат от НИУ ВШЭ по advanced NLP,ЗРК Об информации, СТ РК 1073 “Средства криптографической защиты информации”,https://github.com/Aygera,Python, JavaScript,Java",0.516
32,1,Казань,male,developer,1,0,0,1,0,0,0,0,bachelor,146,"JavaScript,MATLAB,Assembler,C++,Pascal,Visual Studio C#,Пользователь ПК,C#,Python,Java,SQL,SOLID,ASP.NET",0.53
22,1,Москва,male,javaintern,1,0,1,1,0,1,0,0,bachelor,0,"Bash,Nginx,Android SDK,Android,Java,JavaScript,Kotlin,Git,SQL,Socket,Spring Framework,Oracle SQL,Docker",0.486
33,1,Москва,male,developer,1,1,1,1,1,1,1,0,higher,147,"Python,Java,Django Framework,JavaScript,HTML,CSS,jQuery,Ajax,SQL,ООП,Spring Framework,Jenkins,Git,Apache Maven,Scrum,Atlassian Jira,CorelDRAW,PHP,HTML5,MS SQL,Adobe Photoshop,MySQL,Hibernate ORM",0.774
29,1,Санкт-Петербург,male,javadeveloper,1,1,1,1,1,1,0,0,secondary,26,"Java,Git,Maven,Spring Framework,Hibernate ORM,REST,SQL",0.509
22,1,Астрахань,male,other,0,0,0,0,0,0,0,0,bachelor,61,"Опытный пользователь ПК,Знание нескольких языков программирования,Умение пользоваться продукцией Microsoft office,Опытный пользователь Microsoft office (Word, Excel, PowerPoint),Знание программ: Компас, Автокад, Делфи, Лазарус.,Умение читать чертежи",0.369
23,1,Москва,male,other,0,0,0,0,0,0,0,1,unfinished_higher,22,"MS Excel,Анализ рынка,Анализ данных,Английский язык,Мотивация",0.305
25,1,Москва,male,javaintern,0,0,0,0,0,0,0,0,master,17,Исполнительность,0.387
30,1,Москва,male,javadeveloper,1,0,1,1,0,0,0,0,higher,64,"SQL,Git/GitHub,Java",0.528
31,1,Курчатов,female,developer,1,0,0,0,0,0,0,1,unfinished_higher,56,"Делопроизводство,Пользователь ПК,Грамотная речь,Работа с оргтехникой,Работа в команде,Тестирование,Разработка ПО,С#,Java,JavaScript,HTML,CSS",0.378
31,1,Москва,male,javadeveloper,1,0,1,0,0,0,0,0,special_secondary,20,"HTML,CSS,Java,IDEA,Слепая печать на английском и русском,Фотошоп,Git",0.361
28,1,Москва,male,developer,1,0,1,1,0,0,0,0,secondary,59,"Python,CSS3,HTML5,Java,MS SQL,PHP,Поиск информации в интернет,Работа в команде,Git,Linux,Верстка,Django Framework",0.41
23,1,Кисловодск,male,javaintern,1,0,0,1,0,1,0,0,bachelor,0,"Java,Spring Framework,SQL,Java SE,C++",0.443
35,1,Оренбург,male,other,0,0,0,0,0,0,0,0,higher,49,"Internet,1С: Предприятие 8,Windows 10,Офисная техника,Ведение переговоров",0.386
45,1,Москва,male,javajun,1,0,1,0,0,0,1,0,higher,279,"Java,Python,VBA,ООП,Git,Redmine",0.72
19,1,Москва,male,javadeveloper,0,0,0,0,0,0,0,1,special_secondary,0,Исполнительность,0.257
22,1,Москва,male,javajun,1,0,1,1,0,1,1,1,unfinished_higher,0,"Работоспособность,Стрессоустойчивость,Программирование,Java,SQL,ООП,Git,Английский язык,Java SE,MySQL,PostgreSQL,XML,JDBC,JUnit,Spring Framework",0.5
34,1,Екатеринбург,male,javadeveloper,1,0,0,1,0,0,0,0,special_secondary,51,"Java,MySQL,C#,PHP",0.388
32,1,Москва,male,javajun,0,0,0,0,0,0,0,0,higher,105,"основы Java,,SQL на уровне простых запросов",0.436
22,1,Казань,male,developer,1,0,1,1,0,1,1,0,bachelor,2,"Java SE,Git,SQL,Java,Android,Android SDK,ООП,Java EE,REST,Spring Framework,Разработка ПО,HTML,CSS,C#,.NET Framework",0.53
27,1,Челябинск,female,developer,1,0,0,1,0,0,0,0,higher,102,"C#,HTML,CSS,SQL,Adobe Photoshop,Adobe Illustrator,Linux,Java,MS SQL Server,Python",0.519
49,1,Сочи,male,other,0,0,0,0,0,0,0,1,higher,327,"Регистрация микрофинансовой компании,Регистрации кредитного кооператива,Ведение бухучета в микрофинансовой компании,Ведение бухучета в кредитном кооперативе,Сдача отчетности в Центральный банк России,Регистрация акционерного общества,Уверенный пользователь 1С бухгалтерия,Уверенный пользователь Сбис,знание законодательства в области микрокредитной, кооперативов,подготовка должностных инструкций,подготовка учредительных документов для нестандарных ситуаций,подготовка кредитных договоров,подготовка договоров вклада,СБиС,Банк-клиент,Отчетность в ПФР,расчет и регулировка экономических нормативов,планирование деятельности в том числе налоговое планирование,уверенный пользователь Exell, текстовых редакторов,Росфинмониторинг, формирование и отправка сообщений по 115-ФЗ,вступление в саморегулируемую организацию, подготовка требуемых документов,умение разговаривать по телефону, убеждать, вести аргументированную переписку,умение сформировать доказательную базу, ""сила аргументов"",умение вести аргументированную прееписку с госорганами,умение выступать в судебных заседаниях, поддерживать законные требования истца или ответчика,представительство в суде - финансовые и банковские споры,44-ФЗ,102-ФЗ Закон об ипотеке",0.634
20,1,Санкт-Петербург,male,developer,0,0,0,0,0,0,0,1,unfinished_higher,0,,0.286
24,1,Курган,male,javadeveloper,1,0,1,1,1,1,0,0,special_secondary,0,"Java,Spring Framework,Hibernate ORM,Git,SQL,Linux",0.471
28,1,Иваново (Ивановская область),male,developer,1,0,0,0,0,0,0,0,higher,60,"Java,C++,Готовность учиться,Работа в команде,Многозадачность,Ответственность,Усидчивость",0.439
28,1,Челябинск,male,other,1,0,1,0,0,0,0,1,unfinished_higher,60,"Java,Паттерны проектирования,Git,Room,Retrofit,Material design,Rxjava,HTML5,CSS",0.425
22,1,Казань,male,javadeveloper,1,1,1,1,0,1,0,0,unfinished_higher,29,"Java,Maven,SQL,JavaScript,HTML5,CSS3,Spring Framework,Git,XML,REST,jQuery,Node.js",0.526
36,1,Алушта,male,javajun,1,1,0,1,1,1,0,0,higher,78,"Ajax,Hibernate ORM,Java,JavaScript,JDBC,JSP,Linux,MySQL,Spring Framework,Java EE,Apache Maven,JSON API",0.627
19,1,Казань,male,javadeveloper,1,0,1,1,0,1,1,1,unfinished_higher,4,"Обучаемость,Java,HTML,SQL,MySQL,Git,ООП,Spring Framework,CSS3,Java SE,Java Servlets,PostgreSQL",0.504
20,1,Челябинск,male,developer,0,0,0,0,0,0,0,1,bachelor,0,Ответственность,0.314
31,1,Челябинск,male,developer,1,0,0,0,0,0,0,0,higher,87,"Java,Python,Web Application Development,HTML,CSS3,Js",0.463
32,1,Калуга,male,developer,0,0,1,1,0,0,0,0,higher,102,"Qt,C/C++,Пользователь ПК,Английский язык,Поиск информации в интернет,Работа в команде,Работа с базами данных,Unix,SQL,QML,Python,visual studio code,Git",0.519
25,1,Москва,female,developer,0,0,1,0,0,0,0,0,bachelor,8,"Python,Git,программирование,Delphi,Pascal,Понимание основ программирование,Основы ООП,Понимание, как работают потоки/процессы,ассинхроность в Python,Знаком с паттерном проектирования «Состояние»,Шаблонный метод,разработка задач по программированию,CSV,JSON, XML, YAML,Базовое знание SQL,основные структуры данных и алгоритмы,Знание основы операционных систем,принципы клиент-серверного сетевого взаимодействия (http, tcp/ip);,pyenv,PyCharm,Знание принципов работы HTTP,СУБД",0.364
25,1,Москва,male,javadeveloper,0,0,0,0,0,0,0,0,master,0,"Базовые знания Java,Основы ООП,Работа с Git, Maven, Tomcat, Hibernate, PostgreSQL",0.371
34,1,Мураши,male,javadeveloper,1,0,0,0,1,1,0,0,bachelor,96,"Java Servlets,Hibernate ORM,SOAP,REST,Spring Boot",0.528
30,1,Магнитогорск,male,javaintern,1,0,1,1,0,0,1,1,higher,91,"Java SE,MySQL,Git,ООП",0.595
30,1,Москва,male,javadeveloper,1,0,1,1,0,0,0,0,higher,0,"Java,Git,SQL",0.471
26,1,Москва,male,javajun,1,0,1,1,0,0,1,0,bachelor,91,"Java,Git,ООП,C/C++,Docker,Bash,HTML,CSS,Unix,JavaScript,SQL,Unit Testing,Работа в команде,Управление временем",0.567
20,1,Казань,male,developer,0,0,0,0,0,0,0,1,unfinished_higher,0,Сообразительность,0.286
32,1,Москва,male,developer,0,0,1,1,0,0,0,1,higher,83,"Django Framework,Python,PostgreSQL,Bash,HTML5,CSS,Git,Linux,Agile",0.502
19,1,Москва,male,developer,0,0,0,0,0,0,0,1,higher,0,Обучаемость,0.343
31,1,Актобе,male,developer,1,0,0,1,0,0,1,0,higher,75,"HTML,CSS,PHP,JavaScript,SQL,Oracle Pl/SQL,C#,Java,Delphi,ООП,Pascal,Linux,Lazarus",0.538
35,1,Минск,male,javajun,1,1,1,1,1,1,1,0,unfinished_higher,210,"Java SE,Java EE,Git,HTML,CSS,SQL,Spring Framework,Hibernate ORM,PostgreSQL,JDBC,ООП,Apache Maven,JUnit,Log4j,Feign,Gradle",0.773
33,1,Москва,male,other,0,0,1,1,0,0,0,0,higher,57,"Python,SQL,MySQL,Git,Linux,matplotlib,NumPy,OpenPyxl,GitHub,Pandas,FastApi,Docker,Unicorn",0.479
21,1,Казань,male,developer,1,0,0,0,0,0,0,0,unfinished_higher,0,"Java Core,Java Script,HTML,CSS,Java",0.329
20,1,Алматы,female,other,1,0,1,1,0,0,1,1,unfinished_higher,7,"Java,HTML,JavaScript,CSS,Ajax,SQL,Bootstrap,MySQL,Умение работать в коллективе,3ds Max,Autodesk 3ds Max,vray,jQuery,Mathematical Statistics,algorithms,Oracle Pl/SQL,C#,PostgreSQL,MS SQL,ASP.NET,ООП,Git,LINQ,Adobe Photoshop,MS SQL Server,Entity Framework",0.463
