,age,skills,city,gender,specialty,java,maven,git,sql,hibernate,spring,oop,student,education_level,total_experience,skill_set,rubbish,rating
53,20,1,Москва,female,other,0,0,1,1,0,0,1,1,bachelor,0,"Python,Linux,MySQL,Git,CSS,PostgreSQL,Django Framework,SQL,Bash,HTML5,ООП,R,MS Excel,Docker,Mathematical Statistics,Linear Algebra,Functional Analysis,Optimisation,Data Analysis,Data Mining,Data Science,Machine Learning,C++,C,Corporate Finance,Financial Modelling,Wolfram Matematica",0,0.0
54,22,1,Saint Petersburg,male,javajun,1,1,1,1,1,1,1,1,unfinished_higher,0,"Java SE,Java,JDBC,SQL,JavaScript,Spring Framework,REST,ООП,Hibernate ORM,HTML,CSS,Git,Apache Maven",0,0.0
55,20,1,Москва,male,javadeveloper,0,0,0,0,0,0,0,1,bachelor,0,Обучаемость,1,0.2
56,25,1,Москва,male,developer,1,0,0,1,0,0,0,0,unfinished_higher,0,"Python,Java,C/C++,JavaScript,HTML,CSS,Android SDK,Unity,Oracle Pl/SQL,Алгоритмы,Структуры Данных",2,0.0
57,28,1,Сибай,male,developer,0,0,0,0,0,0,0,0,unfinished_higher,33,"Ответственность,Доброжелательность,Общительность",3,0.0
58,32,1,Ульяновск,male,developer,1,1,1,1,0,1,0,0,higher,195,"Программирование,Java,Git,Пользователь ПК,SQL,PostgreSQL,Apache Maven,Spring Framework,Работа в команде",3,0.0
59,23,1,Тюмень,male,javadeveloper,1,0,0,1,0,1,1,0,secondary,0,"Java,ООП,SQL,XML,JavaScript,Intellij IDEA,Spring Framework",0,0.2
60,20,1,Томск,male,javadeveloper,1,1,0,1,0,0,1,1,higher,3,"Java,PostgreSQL,Maven/Gradle,Linux,C/C++,ООП,Многопоточное программирование",1,0.0
61,38,1,Москва,male,other,0,0,0,0,0,0,0,0,higher,188,"Управление проектами,Ведение переговоров,Проведение презентаций,Участие в Тендерах,B2B Продажи,Подготовка коммерческих предложений,Подготовка презентаций,Развитие продаж,Проектный менеджмент,Консультирование,Работа в команде,Технический перевод,Развитие ключевых клиентов,Проектная документация,Сопровождение клиентов,Организация презентаций,Организация совещаний,Международные контакты,Техническая поддержка,Корпоративные продажи,Проведение семинаров,Организация семинаров,Работа с ключевыми клиентами,Техническая документация,Проведение переговоров",25,0.0
62,30,1,Сарапул,female,developer,1,0,0,1,0,0,0,0,bachelor,36,"Работоспособность,Java Core, Java Syntax, HTML, CSS,CSS, Java Core, Java Syntax, postreSQL,,HTML",1,0.0
63,20,1,Санкт-Петербург,male,developer,1,1,1,0,0,0,1,1,higher,0,"ООП,C/C++,Java,Python,Java Servlets,Java Sockets,Apache Maven,HTML,CSS,JavaScript,Git,Linux,JSP,Mac Os,Unit Testing,Latex,Markdown",0,0.0
64,22,1,Москва,male,developer,0,0,0,0,0,0,0,0,unfinished_higher,61,"Обучаемость,Могу программировать на языке Python Java c#,могу программировать на языке c #,PHP",3,0.0
65,25,1,Москва,male,developer,0,0,0,0,0,0,0,1,higher,54,"Настройка ПК,Настройка ПО,Пользователь ПК,HTML,Английский язык,Администрирование сайтов,Работа с оргтехникой,1С: Предприятие 8",6,0.0
66,20,1,Барнаул,male,javajun,1,0,0,0,0,1,0,1,special_secondary,2,"Обучаемость,Java,spring,docker",1,0.2
67,23,1,Вологда,male,javajun,1,1,1,1,0,0,1,0,bachelor,3,"ООП,Java,Основы Spring,Maven,Git,SQL,Java Core,Collections API,JDBC",1,0.2
68,24,1,Самара,male,javajun,1,0,1,1,0,1,1,0,master,49,"Java,SQL,Git,ООП,Spring Framework,HTML,Java SE",0,0.0
69,23,1,Москва,male,javajun,1,1,1,1,0,1,1,1,higher,19,"Java,Spring Framework,ООП,Git,MySQL,JavaScript,jQuery,Ajax,Maven",0,0.0
70,23,1,Екатеринбург,male,javadeveloper,1,1,0,1,0,1,0,1,unfinished_higher,0,"Java,JavaScript,HTML,CSS,SQL,Software Development,MongoDB,PostgreSQL,Spring Framework,Apache Maven",0,0.0
71,31,1,Санкт-Петербург,male,javadeveloper,1,0,1,1,0,0,1,0,higher,87,"ООП,Java,Git,SQL,PostgreSQL",0,0.3
72,41,1,Кинель,male,other,1,1,1,0,0,0,1,0,higher,182,"Организационные навыки,Работа в команде,ООП,HTML,CSS,Java,обучаемость,Git,Apache Maven,Intellij IDEA,Eclipse",3,0.7
73,37,1,Москва,male,developer,0,0,0,0,0,0,0,1,special_secondary,164,"Ответственность,Коммуникабельность,Клиентоориентированность,Работа в команде,MS Outlook,Грамотная речь,Деловое общение,Деловая переписка,Работа с большим объемом информации,1С: Предприятие 8,Internet,MS Internet Explorer,обучаемость,Стрессоустойчивость,Уверенный пользователь ПК,Ориентация на результат,Работа с оргтехникой,Аналитическое мышление",15,0.0
74,22,1,Санкт-Петербург,male,developer,1,0,1,0,0,0,1,1,unfinished_higher,0,"Java,C++,Git,Python,ООП",0,0.0
75,19,1,Салехард,male,developer,0,0,0,0,0,0,0,0,secondary,17,"Работоспособность,Быстрая адаптация,Желание учиться",3,0.0
76,26,1,Москва,male,other,0,0,0,0,0,0,0,0,higher,46,"MS Excel,MS Word,MS PowerPoint,MS Office,Работа с базами данных,Python,VBA,Работа с большим объемом информации,MS Outlook,Анализ данных,Высокая скорость печати,Power pivot,Power Query,HTML",4,0.0
77,23,1,Москва,male,other,0,0,0,0,0,0,0,0,higher,0,,0,0.0
78,24,1,Геленджик,male,javajun,0,0,0,0,0,0,0,0,special_secondary,43,,0,0.0
79,19,1,Москва,male,developer,1,0,1,0,0,0,1,1,unfinished_higher,0,"Android SDK,Java,Android,Git,XML,ООП",0,0.0
80,28,1,Москва,male,javaintern,1,0,1,0,0,0,1,0,bachelor,0,"Git,ООП,Java Collections,Алгоритмы,Java Core,Linux",1,0.0
81,20,1,Дубна,male,javadeveloper,1,1,1,1,0,0,0,1,unfinished_higher,0,"Java Core,Java Collections,PostgreSQL,Git,Maven,Базовые знания : Spring Core, Spring Data JPA, Spring MVC",1,0.0
82,28,1,Москва,male,other,0,0,0,0,0,0,0,1,special_secondary,20,"Visual Studio C#,Паттерны программирования С# : Адаптер, Стратегия.,T-SQL знаю как работает основные команды : Insert, Order by.,ООП : знаю как применять наследование и инкапсуляцию и полиморфизм на практике,Практиковался с Linq : where * in * , имею не большой опыт в реализации,Изучаю ASP.core с подключением бд(ms sql server) через entity framework (автосвойства),Система контроля версий GIT Hub",6,0.0
83,21,1,Брянск,male,developer,1,0,1,1,0,0,1,1,unfinished_higher,5,"ООП,Git,HTML,CSS,CSS3,HTML5,MySQL,Java,SQL,C#,MS SQL Server,JavaScript,Java SE,.NET Framework,ASP.NET,Entity Framework,Web api,jQuery",0,0.0
84,21,1,Москва,male,other,0,0,0,0,0,0,0,1,unfinished_higher,3,"Работоспособность,Целеустремлённость,Достижение целей,Коммуникабельность,Развитость,Общение с людьми,Деловые встречи,Интерес",8,0.0
85,52,1,Сочи,male,developer,1,1,1,1,0,0,0,0,higher,145,"Git,Java,Intellij IDEA,Apache Maven,JUnit,log4j2,XML,SQL,1С-Битрикс,CS-Cart,JavaScript,CSS3,Linux,JDBC,JMH",1,0.2
86,26,1,Ульяновск,male,javadeveloper,0,0,0,0,0,0,0,0,higher,24,Исполнительность,1,0.0
87,20,1,Казань,male,developer,1,0,0,0,0,0,0,0,secondary,8,"Работоспособность,усидчивость,упорность,Информационные технологии,Английский язык,HTML,Пользователь ПК,JavaScript,Java",5,0.0
88,20,1,Краснодар,male,javadeveloper,1,1,1,1,1,1,1,1,unfinished_higher,0,"MySQL,CSS,Git,HTML5,PostgreSQL,SQL,Bootstrap,Java SE,Spring Framework,Hibernate ORM,Apache Maven,Apache Tomcat,HTML,JDBC,ООП,CSS3,Thymeleaf,Docker,Swagger,Kubernetes",0,0.0
89,29,1,Нур-Султан,female,other,1,0,1,0,0,0,0,0,master,66,"Machine learning: natural language processing, image recognition,Имеется сертификат от НИУ ВШЭ по advanced NLP,ЗРК Об информации, СТ РК 1073 “Средства криптографической защиты информации”,https://github.com/Aygera,Python, JavaScript,Java",2,0.0
90,32,1,Казань,male,developer,1,0,0,1,0,0,0,0,bachelor,146,"JavaScript,MATLAB,Assembler,C++,Pascal,Visual Studio C#,Пользователь ПК,C#,Python,Java,SQL,SOLID,ASP.NET",1,0.0
91,22,1,Москва,male,javaintern,1,0,1,1,0,1,0,0,bachelor,0,"Bash,Nginx,Android SDK,Android,Java,JavaScript,Kotlin,Git,SQL,Socket,Spring Framework,Oracle SQL,Docker",0,0.2
92,33,1,Москва,male,developer,1,1,1,1,1,1,1,0,higher,147,"Python,Java,Django Framework,JavaScript,HTML,CSS,jQuery,Ajax,SQL,ООП,Spring Framework,Jenkins,Git,Apache Maven,Scrum,Atlassian Jira,CorelDRAW,PHP,HTML5,MS SQL,Adobe Photoshop,MySQL,Hibernate ORM",0,0.0
93,29,1,Санкт-Петербург,male,javadeveloper,1,1,1,1,1,1,0,0,secondary,26,"Java,Git,Maven,Spring Framework,Hibernate ORM,REST,SQL",0,0.2
94,22,1,Астрахань,male,other,0,0,0,0,0,0,0,0,bachelor,61,"Опытный пользователь ПК,Знание нескольких языков программирования,Умение пользоваться продукцией Microsoft office,Опытный пользователь Microsoft office (Word, Excel, PowerPoint),Знание программ: Компас, Автокад, Делфи, Лазарус.,Умение читать чертежи",6,0.0
95,23,1,Москва,male,other,0,0,0,0,0,0,0,1,unfinished_higher,22,"MS Excel,Анализ рынка,Анализ данных,Английский язык,Мотивация",3,0.0
96,25,1,Москва,male,javaintern,0,0,0,0,0,0,0,0,master,17,Исполнительность,1,0.0
97,30,1,Москва,male,javadeveloper,1,0,1,1,0,0,0,0,higher,64,"SQL,Git/GitHub,Java",0,0.2
98,31,1,Курчатов,female,developer,1,0,0,0,0,0,0,1,unfinished_higher,56,"Делопроизводство,Пользователь ПК,Грамотная речь,Работа с оргтехникой,Работа в команде,Тестирование,Разработка ПО,С#,Java,JavaScript,HTML,CSS",8,0.0
99,31,1,Москва,male,javadeveloper,1,0,1,0,0,0,0,0,special_secondary,20,"HTML,CSS,Java,IDEA,Слепая печать на английском и русском,Фотошоп,Git",2,0.0
100,28,1,Москва,male,developer,1,0,1,1,0,0,0,0,secondary,59,"Python,CSS3,HTML5,Java,MS SQL,PHP,Поиск информации в интернет,Работа в команде,Git,Linux,Верстка,Django Framework",3,0.0
101,23,1,Кисловодск,male,javaintern,1,0,0,1,0,1,0,0,bachelor,0,"Java,Spring Framework,SQL,Java SE,C++",0,0.0
102,35,1,Оренбург,male,other,0,0,0,0,0,0,0,0,higher,49,"Internet,1С: Предприятие 8,Windows 10,Офисная техника,Ведение переговоров",3,0.0
103,45,1,Москва,male,javajun,1,0,1,0,0,0,1,0,higher,279,"Java,Python,VBA,ООП,Git,Redmine",0,1.0
104,19,1,Москва,male,javadeveloper,0,0,0,0,0,0,0,1,special_secondary,0,Исполнительность,1,0.0
105,22,1,Москва,male,javajun,1,0,1,1,0,1,1,1,unfinished_higher,0,"Работоспособность,Стрессоустойчивость,Программирование,Java,SQL,ООП,Git,Английский язык,Java SE,MySQL,PostgreSQL,XML,JDBC,JUnit,Spring Framework",3,0.2
106,34,1,Екатеринбург,male,javadeveloper,1,0,0,1,0,0,0,0,special_secondary,51,"Java,MySQL,C#,PHP",0,0.0
107,32,1,Москва,male,javajun,0,0,0,0,0,0,0,0,higher,105,"основы Java,,SQL на уровне простых запросов",2,0.0
108,22,1,Казань,male,developer,1,0,1,1,0,1,1,0,bachelor,2,"Java SE,Git,SQL,Java,Android,Android SDK,ООП,Java EE,REST,Spring Framework,Разработка ПО,HTML,CSS,C#,.NET Framework",1,0.3
109,27,1,Челябинск,female,developer,1,0,0,1,0,0,0,0,higher,102,"C#,HTML,CSS,SQL,Adobe Photoshop,Adobe Illustrator,Linux,Java,MS SQL Server,Python",0,0.0
110,49,1,Сочи,male,other,0,0,0,0,0,0,0,1,higher,327,"Регистрация микрофинансовой компании,Регистрации кредитного кооператива,Ведение бухучета в микрофинансовой компании,Ведение бухучета в кредитном кооперативе,Сдача отчетности в Центральный банк России,Регистрация акционерного общества,Уверенный пользователь 1С бухгалтерия,Уверенный пользователь Сбис,знание законодательства в области микрокредитной, кооперативов,подготовка должностных инструкций,подготовка учредительных документов для нестандарных ситуаций,подготовка кредитных договоров,подготовка договоров вклада,СБиС,Банк-клиент,Отчетность в ПФР,расчет и регулировка экономических нормативов,планирование деятельности в том числе налоговое планирование,уверенный пользователь Exell, текстовых редакторов,Росфинмониторинг, формирование и отправка сообщений по 115-ФЗ,вступление в саморегулируемую организацию, подготовка требуемых документов,умение разговаривать по телефону, убеждать, вести аргументированную переписку,умение сформировать доказательную базу, ""сила аргументов"",умение вести аргументированную прееписку с госорганами,умение выступать в судебных заседаниях, поддерживать законные требования истца или ответчика,представительство в суде - финансовые и банковские споры,44-ФЗ,102-ФЗ Закон об ипотеке",28,0.2
111,20,1,Санкт-Петербург,male,developer,0,0,0,0,0,0,0,1,unfinished_higher,0,,0,0.5
112,24,1,Курган,male,javadeveloper,1,0,1,1,1,1,0,0,special_secondary,0,"Java,Spring Framework,Hibernate ORM,Git,SQL,Linux",0,0.0
113,28,1,Иваново (Ивановская область),male,developer,1,0,0,0,0,0,0,0,higher,60,"Java,C++,Готовность учиться,Работа в команде,Многозадачность,Ответственность,Усидчивость",5,0.0
114,28,1,Челябинск,male,other,1,0,1,0,0,0,0,1,unfinished_higher,60,"Java,Паттерны проектирования,Git,Room,Retrofit,Material design,Rxjava,HTML5,CSS",1,0.0
115,22,1,Казань,male,javadeveloper,1,1,1,1,0,1,0,0,unfinished_higher,29,"Java,Maven,SQL,JavaScript,HTML5,CSS3,Spring Framework,Git,XML,REST,jQuery,Node.js",0,0.0
116,36,1,Алушта,male,javajun,1,1,0,1,1,1,0,0,higher,78,"Ajax,Hibernate ORM,Java,JavaScript,JDBC,JSP,Linux,MySQL,Spring Framework,Java EE,Apache Maven,JSON API",0,0.2
117,19,1,Казань,male,javadeveloper,1,0,1,1,0,1,1,1,unfinished_higher,4,"Обучаемость,Java,HTML,SQL,MySQL,Git,ООП,Spring Framework,CSS3,Java SE,Java Servlets,PostgreSQL",1,0.0
118,20,1,Челябинск,male,developer,0,0,0,0,0,0,0,1,bachelor,0,Ответственность,1,0.0
119,31,1,Челябинск,male,developer,1,0,0,0,0,0,0,0,higher,87,"Java,Python,Web Application Development,HTML,CSS3,Js",0,0.2
120,32,1,Калуга,male,developer,0,0,1,1,0,0,0,0,higher,102,"Qt,C/C++,Пользователь ПК,Английский язык,Поиск информации в интернет,Работа в команде,Работа с базами данных,Unix,SQL,QML,Python,visual studio code,Git",4,0.2
121,25,1,Москва,female,developer,0,0,1,0,0,0,0,0,bachelor,8,"Python,Git,программирование,Delphi,Pascal,Понимание основ программирование,Основы ООП,Понимание, как работают потоки/процессы,ассинхроность в Python,Знаком с паттерном проектирования «Состояние»,Шаблонный метод,разработка задач по программированию,CSV,JSON, XML, YAML,Базовое знание SQL,основные структуры данных и алгоритмы,Знание основы операционных систем,принципы клиент-серверного сетевого взаимодействия (http, tcp/ip);,pyenv,PyCharm,Знание принципов работы HTTP,СУБД",14,0.0
122,25,1,Москва,male,javadeveloper,0,0,0,0,0,0,0,0,master,0,"Базовые знания Java,Основы ООП,Работа с Git, Maven, Tomcat, Hibernate, PostgreSQL",3,0.0
123,34,1,Мураши,male,javadeveloper,1,0,0,0,1,1,0,0,bachelor,96,"Java Servlets,Hibernate ORM,SOAP,REST,Spring Boot",0,0.3
124,30,1,Магнитогорск,male,javaintern,1,0,1,1,0,0,1,1,higher,91,"Java SE,MySQL,Git,ООП",0,0.0
125,30,1,Москва,male,javadeveloper,1,0,1,1,0,0,0,0,higher,0,"Java,Git,SQL",0,0.0
126,26,1,Москва,male,javajun,1,0,1,1,0,0,1,0,bachelor,91,"Java,Git,ООП,C/C++,Docker,Bash,HTML,CSS,Unix,JavaScript,SQL,Unit Testing,Работа в команде,Управление временем",2,0.0
127,20,1,Казань,male,developer,0,0,0,0,0,0,0,1,unfinished_higher,0,Сообразительность,1,0.0
128,32,1,Москва,male,developer,0,0,1,1,0,0,0,1,higher,83,"Django Framework,Python,PostgreSQL,Bash,HTML5,CSS,Git,Linux,Agile",0,0.0
129,19,1,Москва,male,developer,0,0,0,0,0,0,0,1,higher,0,Обучаемость,1,0.0
