,score
настройка серверов,-3.3434070906121454
Иваново (Ивановская область),-4.6390677100617355
Одесса,-8.019765542179934
adobe photoshop,-11.205671534912721
технический перевод,-11.708542513427389
настройка по,-11.967660786855996
pascal,-12.055554340076142
rubbish,-12.132652841928461
быстрообучаемость,-12.215396372790062
Жуковский,-13.109756619172101
compass 3d,-13.122291173576434
Железнодорожный,-13.28523780052105
Экибастуз,-13.303004607246011
bpmn,-14.01342422023593
p-cad,-14.420347794590427
создание сайтов,-14.750000042194035
jpa,-14.784746975597665
Ростов-на-Дону,-14.925492971369685
unfinished_higher,-14.936242389264605
Усть-Каменогорск,-15.503035824911416
математическое моделирование,-15.614376821054618
Чайковский,-16.782645276220688
Кызылорда,-16.941891564619617
работа с документами,-17.00030635607098
java applets,-17.00030635607098
Лобня,-17.377257369351057
Чебоксары,-17.62245449969523
b2b продажи,-18.36759549904577
навыки переговоров,-18.36759549904577
Архангельск,-18.636008509484903
администрирование,-20.48998754007774
Каменск-Шахтинский,-20.922060091359683
Киев,-21.142779342743562
docker,-22.01795359495838
visual basic,-22.280539879191725
go,-22.280539879191725
средства криптографической защиты информации,-22.598841276172774
fastapi,-22.637056642138432
участие в тендерах,-23.737206574183492
Курчатов,-24.490548142800947
Антрацит,-25.196772511142164
intellij idea,-25.310311141490295
высокая работоспособность,-25.48218119451061
высокая скорость печати,-25.630659139079288
wifi networks,-26.587719552555782
Тула,-26.70219647811909
математическое программирование,-27.076779112694407
Хабаровск,-27.456717005011303
Салехард,-27.71303021588136
orm,-27.9905801289168
Павлодар,-28.192601769803268
Ростов (Ярославская область),-28.277577578219983
npm,-28.288621252545866
проектирование,-28.482967402915065
консультант плюс,-28.58814917487217
знание языка sql,-28.78658863271348
adobe acrobat,-29.325267708720425
testng,-29.78280888149527
кроссбраузерная верстка,-30.222200798659614
Комсомольск-на-Амуре,-30.242492746484018
redis,-30.305946205964908
Феодосия,-31.025568093085642
di,-31.390992969801037
Фергана,-32.0218036469097
Лабинск,-32.11929306127396
дизайн,-32.11929306127396
cmake,-32.11929306127396
анализ рынка,-32.556911211225
мотивация,-32.556911211225
Ташкент,-32.815852290852746
es6,-33.30587752174263
ответственный,-33.38058793689727
настройка dns,-33.92813139088987
unreal engine 4,-34.225064698605465
junit,-34.638381293664665
ms outlook,-34.71870991234407
catia,-35.19726151475677
Биробиджан,-35.91161185751819
1c: бухгалтерия,-36.013954681691416
ms visual c++,-36.61195679826283
Moscow,-36.64421603777333
основы ооп,-37.404698955455
делопроизводство,-37.46432049661865
api,-37.62925576984953
администрирование сайтов,-37.752343401530595
keras,-38.09700403820538
adobe after effect,-38.13667385687657
Калуга,-38.93704653645965
25.0_31.0,-39.04878456614444
solid works,-39.368788924950806
Кемерово,-41.31209357730595
адаптивная верстка,-43.82635391406675
java 11,-43.994522768633324
swift,-44.39311454945811
linear algebra,-44.39311454945811
scipy,-44.39311454945811
Чехов,-44.759320736293084
higher,-46.31585367916942
reactjs,-46.469990611463544
анализ данных,-46.47902783687719
microsoft visual studio,-46.787479776773985
less,-47.73921445243861
Симферополь,-47.922897100671534
gulp,-48.1874889698596
Геленджик,-49.30759479901233
Тихвин,-49.40156487965794
codesys,-51.922054070375424
уверенный пользователь пк,-52.19288877200087
autodesk 3ds max,-53.0233347956823
mvvm,-53.07585856019092
glide,-53.07585856019092
алгоритмы,-53.48250020992383
Сарапул,-53.90776917541502
java syntax,-53.90776917541502
Ижевск,-54.18795057553652
активные продажи,-54.47336363459177
windows os,-54.987461881176976
Кострома,-55.52741278525022
postgresql,-56.40916976452214
3d моделирование,-56.675468511593756
jackson,-57.16099975412713
Грозный,-58.53574249290196
Гомель,-58.90074799608505
linux,-58.94840720389327
преподаватель,-59.641135484528256
windows 7,-60.404342695954206
с++,-61.602440923565965
Туркестан,-61.60383550846378
организация мероприятий,-62.07339372043974
ui,-62.28274674499917
ux,-62.28274674499917
телефонные переговоры,-62.44830478403933
Нижневартовск,-62.96409531795916
функциональное тестирование,-63.175647443410064
java,-63.5811032848878
-0.001_4.0,-63.860004060675415
scrum,-63.95701043283462
mathcad,-64.35958259653418
слепая печать,-64.6495638429548
Волковыск,-65.34693156708533
аналитика,-65.37540961420162
windows 10,-65.92646735206428
ремонт пк,-68.33732313227836
Польша,-68.35176770609323
ubuntu,-68.52480812405156
windows,-68.80914959239483
Усть-Донецкий,-69.0034848870378
способность анализировать проблемы,-69.0242353377511
эффективно искать пути их разрешения,-69.0242353377511
vpn,-69.78253628286585
Шымкент,-70.16755073471361
подготовка презентаций,-70.51935339339781
skills,-71.55386240623312
kubernetes,-71.9291357295308
lamp,-71.9291357295308
Брянск,-72.37987070272277
entity framework,-72.37987070272277
android sdk,-72.83953710941988
Могилев,-73.98743351249084
Пятигорск,-75.47636899889001
Магадан,-75.92651347174667
паттерны,-78.46702092577833
multithread programming,-78.69667151332105
seo,-79.36035578732016
secondary,-80.12402399241532
стратегическое мышление,-80.36688316285864
Воронеж,-81.27608606458604
tomcat,-81.39922172408934
student,-82.00473331766557
kafka,-82.47118177313358
spring cloud,-82.47118177313358
компас-3d,-83.71912318194032
java 8,-83.86870772769586
Выборг,-84.8696565211492
pycharm,-85.49680632553746
object pascal/delphi,-87.26839447070722
firebirdsql,-87.26839447070722
oracle 11g,-87.26839447070722
nosql,-87.46176265324124
java ee,-88.71041495157854
усидчивость,-89.01661971603163
jsf,-89.10424931271199
jsoup,-89.93929464163836
idef0,-89.93993769198117
Saint Petersburg,-89.96544894311036
qt,-90.14398823987636
Пенза,-90.79312953850916
математический анализ,-93.20222799836161
ms visio,-93.71634736147196
Ургенч,-93.79788544285195
java database,-94.66516819237631
настройка пк,-94.78434229376433
администрирование сетевого оборудования,-95.61195489030743
gradle,-96.01543242344994
рисунок,-96.79336412805172
живопись,-96.79336412805172
3d max,-97.9992245653105
неконфликтный,-98.6006889080434
Красноусольский,-99.57721999944647
точность и внимательность к деталям,-99.57721999944647
информационные технологии,-99.93576920211947
сборка пк,-100.4985368675772
rxjava,-101.83351552795028
Ленинск-Кузнецкий,-101.98573573865069
sass,-102.15853675814975
1с-битрикс,-103.2924400012538
embarcadero delphi,-104.21028603532608
ios,-104.26870082677866
грамотная речь,-104.96302137067323
субд,-105.63598996974979
Саранск,-107.20698123092122
Орел,-107.23838227536197
Видное,-107.47273893704153
Киржач,-108.89524756356228
ms visual studio,-109.77763136619257
Актобе,-110.13647775204399
google docs,-110.17779412952122
Чернушка,-110.39273643621627
быстрая обучаемость,-111.10241419106087
4.0_54.0,-112.01453263382406
selenium,-112.53657170480531
понимание принципов ооп,-113.18329975274608
Щелково,-114.72744623403268
Болгария,-115.44399897234467
apache tomcat,-116.39977949533954
проведение презентаций,-116.7944133567588
Смоленск,-120.4932052804722
ооп,-121.06653232273062
jenkins,-124.33849587416104
borland c++,-124.57401687929628
1c,-125.35391555153939
с#,-129.65976554669942
redux,-129.91785640180103
паттерны проектирования,-130.0062632713238
Королев,-134.25856658977455
retrofit,-134.45127453695133
agile project management,-135.30160513577988
java servlets,-135.35909622099655
visual studio code,-136.349277906637
Podolsk,-136.349277906637
wpf,-136.99942014554165
Златоуст,-137.45860305667773
django rest framework,-137.45860305667773
французский язык,-138.68620023556258
Ярославль,-138.90002105199764
master,-139.29634765277424
figma,-140.58755890618588
stl,-140.89567845653778
spring framework,-141.74652027383576
Зеленоград,-141.99080742717825
Набережные Челны,-142.2860978832548
Ульяновск,-142.61096502249234
oracle,-142.66186426245784
умение работать в команде,-142.7676066941214
data analysis,-143.66994448575576
работоспособность,-144.324583891013
css,-145.85655904029
coreldraw,-147.3704858860227
работа с оргтехникой,-149.29206682939062
stream api,-149.502900352888
svn,-150.14228013097932
django framework,-150.44884371796627
adobe illustrator,-151.1232747764849
деловая переписка,-151.1615069581559
Копейск,-152.76022456421572
material ui,-153.20761346151198
bash,-155.06750498006969
flutter,-155.23378546612258
ms access,-155.3261164638644
postman,-156.22195883825538
scss,-156.31006447483333
special_secondary,-157.18111674556462
аккуратность,-158.9063173521393
r,-159.16012559809315
matlab,-160.20454196123188
joomla cms,-162.51978814190295
css3,-163.60325295966203
Курган,-166.306859959169
Псков,-167.1260133125593
ejb,-167.98146464244812
oracle database,-167.98146464244812
aop,-168.57248543752152
1с: предприятие 8,-169.6721079617028
spring mvc,-169.78964019381166
31.0_58.0,-170.15479605044314
офисная техника,-172.77206598450488
Апрелевка,-172.80944235077217
yii2,-174.4796705698234
liquibase,-174.66484744893637
пунктуальность,-175.91566364732677
hibernate,-176.3405362358069
selenium ide,-176.6092730867254
деловая коммуникация,-176.77371486395458
водительское удостоверение категории b,-180.2338293617706
photoshop,-184.35232515040315
обучение и развитие,-184.72725831417256
spring data,-186.50767126964874
kotlin,-188.228695345676
machine learning,-189.48806032459734
swing,-190.2981855294246
Ленино,-194.39092115203266
mybatis,-194.423427429717
ms office,-197.48833624042214
работа с базами данных,-201.79382340704657
jaxb,-202.03637183078843
Вышний Волочек,-206.23966757319585
Иркутск,-206.70232597082762
internet,-207.70402322833738
selenium webdriver,-209.92452282326846
numpy,-210.78832210540938
ms word,-211.57682345799583
Сибай,-212.69660252915745
jdbc,-215.43429866688786
room,-216.56096176197906
Маркс,-217.8186645443731
Оренбург,-217.89391854775585
mysql,-221.56103173212404
обучение,-222.31087648663961
apache http server,-223.74654893955426
Белореченск,-225.65522879096093
telegram api,-225.73556036906885
математическая статистика,-226.0859770227113
Петрозаводск,-227.38672384111342
Казань,-228.2214329072597
целеустремлённость,-230.29804460476026
collections framework,-232.54295505638672
c++,-233.49424830461555
solidworks,-237.69006704918843
javascript,-238.74861646499247
cisco,-239.84634930099043
Магнитогорск,-240.49318031531303
typescript,-241.10887991295215
autocad,-244.36506729819368
java collections,-244.4113166133842
http,-246.27532928047162
pandas,-248.0271092107213
lua,-249.60717038565406
php5,-251.13127977451174
html/css,-254.9968231649188
организаторские навыки,-256.50350058843884
Дубна,-256.9108719262285
Курск,-260.3069218607663
Лида,-261.9376641995615
Владивосток,-262.27468331148333
unix,-263.90123182369916
trello,-266.2296682521812
Тольятти,-267.91762015495965
трудолюбие,-272.7580334827009
mongodb,-278.61151116429744
Пушкино (Московская область),-280.9735870987365
Котлас,-288.1328573351739
Кишинёв,-289.40748382444997
transact-sql,-292.29555442754753
gitlab,-295.6592926235676
Ленинское (Новосибирская область),-298.30827147532716
1с: бухгалтерия,-298.7274728173776
ms powerpoint,-299.01457066950366
многозадачность,-300.99371513343067
деловое общение,-301.2033641655847
коммуникабельность,-306.7138330593119
assembler,-307.8068759425142
Урмары,-310.459005502997
ms excel,-310.9264736732474
Бишкек,-314.2283328093182
пользователь пк,-314.71645609752295
angular,-315.4719540892029
Донецк (Украина),-318.24637010492006
golang,-320.10081390643876
Тверь,-353.09490330712487
javafx,-356.7410996973621
firebase,-360.850539394016
Днепр (Днепропетровск),-366.9260981314191
delphi,-373.1474514978395
spring core,-383.4168024289889
mvc,-384.56108163739
Астрахань,-388.55040888029276
Самара,-389.7321192466167
log4j,-402.1746495044471
eclipse,-405.33545840444634
Краснодар,-409.94237436946077
android,-425.3650755858351
mac os,-428.1345041940818
sap erp,-435.9637401334522
Нижний Новгород,-451.19465175759046
solid,-460.83700629507985
аналитическое мышление,-461.0442632489447
bootstrap,-463.8503499448181
базы данных,-466.26106132806905
финансовый анализ,-488.3767812285123
php,-488.887576751726
администрирование серверов linux,-489.466600680246
android studio,-515.1057727975925
ms sql server,-543.9468459685555
atlassian jira,-546.1380758668407
ориентация на результат,-602.3331634986723
latex,-630.0249656760514
unity,-667.3026613434234
